,Company,Brand,Appliance,Energy Consumption,SKU
4240,AB Electrolux / Investor AB,Lehel,Dish Washer,300W,SKU-40187
4241,AB Electrolux / Investor AB,Alpeninox,Dish Washer,425W,SKU-60298
4242,Amica Wronki S.A,Amica,Washer,0,SKU--22750
4243,AB Electrolux / Investor AB,Anova,Refrigerator,,SKU-12821
4244,AGA Rangemaster Group Ltd. The Middleby Corporation,AGA / Rangemaster,Freezer,0,SKU45952
4245,GlenDimplex,Campo,Freezer,400W,SKU-83084
4246,Liebherr Group,Liebherr,Washer,425W,SKU-52355
4247,Mondragon Corporation,Mastercook,Freezer,,SKU-91175
4248,Fhiaba S.r.l,Fhibia,Refrigerator,0,SKU-62060
4249,Gorenje,Etna,Washer,325W,SKU-82783
4250,Whirlpool Corporation,Consul,Stove,0,SKU-12166
4251,Gorenje,Gorenje,Washer,0,SKU-22712
4252,AB Electrolux / Investor AB,Electrolux,Kettle,300W,SKU-19806
4253,AB Electrolux / Investor AB,Corberó,Toaster,415,SKU-92592
4254,Arçelik A.Ş. / Koç Holdin,Arstil,Stove,0,SKU-54224
4255,John Lewis Partnership,John Lewis,Washer,475W,SKU--54336
4256,AB Electrolux / Investor AB,Electrolux ICON,Stove,250W,SKU-24766
4257,Arçelik A.Ş. / Koç Holding,Arçelik,Stove,,SKU-97260
4258,GlenDimplex,New World,Dish Washer,325W,SKU-41662
4259,BSH Hausgeräte GmbH / Robert Bosch GmbH,Pitsos,Freezer,425W,SKU-58122
4260,AB Electrolux / Investor AB,Tricity Bendix,Freezer,425W,SKU-45914
4261,"Indesit Company, Whirlpool Corporation",Termogamma,Stove,425W,SKU-61998
4262,AB Electrolux / Investor A,Frigidaire,Washer,415,SKU-65143
4263,GlenDimplex,Nobo,Refrigerator,0,SKU-86373
4264,Whirlpool Corporation,Privileg,Freezer,,SKU-1340
4265,BSH Hausgeräte GmbH / Robert Bosch GmbH,Coldex,Washer,0,SKU-76031
4266,AM Kodinkoneet Oy / Gorenje Group Nordic A/S / Gorenje,UPO,Toaster,300W,SKU-22533
4267,AB Electrolux / Investor AB,Somela,Dish Washer,,SKU-72231
4268,Hisense Kelon Electrical Holdings Ltd. / Hisense Group,Kelon (科龙),Stove,,SKU-30832
4269,John Lewis Partnership,John Lewis,Refrigerator,0,SKU-25687
4270,Whirlpool Corporation,Jenn-Air,Dryer,500W,SKU-86743
4271,Dayou Group,Daewoo,Dryer,,SKU-13878
4272,GlenDimplex,New World,Freezer,250W,SKU-3760
4273,Dayou Group,Daewoo,Washer,,SKU-42810
4274,Whirlpool Corporation,Privileg,Toaster,425W,SKU-98259
4275,Whirlpool Corporation,Gladiator GarageWorks,Refrigerator,0,SKU-84033
4276,Mondragon Corporation,Mastercook,Dish Washer,,SKU-68132
4277,AB Electrolux / Investor AB,King,Stove,,SKU-74763
4278,Whirlpool Corporation,Whirlpool,Toaster,0,SKU-3912
4279,Arçelik A.Ş. / Koç Holding,Flavel,Freezer,0,SKU-63259
4280,Whirlpool Corporation,Gladiator GarageWorks,Dish Washer,400W,SKU-22836
4281,Whirlpool Corporation,Gladiator GarageWorks,Refrigerator,,SKU-29959
4282,The Middleby Corporation,La Cornue,Dryer,250W,SKU-97306
4283,AB Electrolux / Investor AB,White-Westinghouse,Freezer,0,SKU-34052
4284,Asko Appliances AB / Gorenje,Asko,Dryer,,SKU-49768
4285,BSH Hausgeräte GmbH / Robert Bosch GmbH,Pitsos,Dish Washer,415,SKU-44089
4286,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Servis,Freezer,,SKU-62910
4287,AB Electrolux / Investor AB,Zanker,Dryer,,SKU-11869
4288,Smeg Group S.p.A,Bertazzoni,Dish Washer,415,SKU-67648
4289,GlenDimplex,Dimplex,Refrigerator,,SKU-75079
4290,AB Electrolux / Investor AB,AEG,Kettle,,SKU-67316
4291,BSH Hausgeräte GmbH / Robert Bosch GmbH,Coldex,Toaster,,SKU-8336
4292,Gorenje,Körting,Refrigerator,250W,SKU-49019
4293,Arçelik A.Ş. / Koç Holding,Arçelik,Refrigerator,,SKU-34496
4294,Whirlpool Corporation,Kenmore,Toaster,425W,SKU-92457
4295,Arçelik A.Ş. / Koç Holding,Defy,Dish Washer,120W,SKU50443
4296,Whirlpool Corporation,Roper,Dish Washer,,SKU-28037
4297,GlenDimplex,Stoves,Washer,0,SKU-50705
4298,GlenDimplex,New World,Toaster,,SKU-50590
4299,Thermador / BSH Hausgeräte GmbH / Robert Bosch GmbH,Thermador,Kettle,415,SKU-70029
4300,AB Electrolux / Investor AB,Lehel,Dryer,475W,SKU-93680
4301,AB Electrolux / Investor AB,Olympic Group,Refrigerator,,SKU-92635
4302,"Indesit Company, Whirlpool Corporation",Stinol,Dryer,250W,SKU-15400
4303,Whirlpool Corporation,Amana,Washer,,SKU-96243
4304,Candy Group,Jinling,Dryer,0,SKU-83715
4305,De’Longhi S.p.A,DeLonghi,Kettle,0,SKU-69690
4306,Smeg Group S.p.A,Smeg,Refrigerator,200,SKU-96166
4307,AB Electrolux / Investor AB,Anova,Dryer,400W,SKU-85837
4308,Whirlpool Corporation,Indesit Company,Toaster,120W,SKU-45101
4309,AB Electrolux / Investor AB,Gibson,Toaster,,SKU-87116
4310,Arçelik A.Ş. / Koç Holding,Leisure,Stove,0,SKU-8788
4311,IKEA,IKEA,Freezer,,SKU-34487
4312,BSH Hausgeräte GmbH / Robert Bosch GmbH,Siemens,Washer,0,SKU-89633
4313,AB Electrolux / Investor AB,Somela,Washer,325W,SKU-99721
4314,Bauknecht Hausgeräte GmbH / Whirlpool Corporation,Bauknecht,Refrigerator,,SKU-27043
4315,Gorenje,Gorenje,Kettle,425W,SKU-28761
4316,Mondragon Corporation,Brandt,Kettle,,SKU-23202
4317,BSH Hausgeräte GmbH / Robert Bosch GmbH,Bosch,Washer,,SKU-61194
4318,AB Electrolux / Investor AB,Dishlex,Toaster,,SKU-31178
4319,Candy Group,Zerowatt,Dish Washer,,SKU-13717
4320,Verzinkerei Zug LtdV-ZUG Ltd,V-ZUG,Refrigerator,0,SKU-86581
4321,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Vestfrost,Toaster,,SKU-50669
4322,Gorenj,Atag,Freezer,200,SKU-10643
4323,AB Electrolux / Investor AB,Lehel,Stove,0,SKU-41174
4324,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Toaster,120W,SKU-66424
4325,Candy Group,Iberna,Washer,250W,SKU-48525
4326,Samsung Group,Samsung,Dish Washer,,SKU--34396
4327,Asko Appliances AB / Gorenje,Asko,Dish Washer,325W,SKU-83407
4328,Montpellier Domestic Appliances Ltd,Montpellier,Washer,425W,SKU-61705
4329,Arçelik A.Ş. / Koç Holding,Dawlance,Kettle,425W,SKU-27220
4330,GlenDimplex,Dimplex,Dish Washer,,SKU-46289
4331,GlenDimplex,Cadet,Refrigerator,250W,SKU-87145
4332,AB Electrolux / Investor AB,AEG,Kettle,0,SKU-37467
4333,AB Electrolux / Investor AB,AEG,Dish Washer,400W,SKU-47591
4334,Mondragon Corporation,Mastercook,Refrigerator,,SKU-82793
4335,Candy Group,Candy,Refrigerator,415,SKU-43749
4336,GlenDimplex,New World,Toaster,415,SKU-7562
4337,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Dryer,250W,SKU-96551
4338,Liebherr Group,Liebherr,Stove,,SKU-21953
4339,AB Electrolux / Investor AB,Olympic Group,Dryer,,SKU-63567
4340,AB Electrolux / Investor A,Frigidaire,Stove,415,SKU--16682
4341,Mondragon Corporation,Fagor,Refrigerator,425W,SKU-38812
4342,The Middleby Corporation,Marvel,Toaster,120W,SKU-56898
4343,BSH Hausgeräte GmbH / Robert Bosch GmbH,Viva,Washer,0,SKU-98227
4344,Candy Group,Rosières,Washer,,SKU-61895
4345,Whirlpool Corporation,Admiral,Refrigerator,0,SKU-88194
4346,Candy Group,Hoover,Washer,415,SKU-91608
4347,GlenDimplex,Campo,Freezer,,SKU-24504
4348,"Indesit Company, Whirlpool Corporation",Elco,Dish Washer,,SKU-80179
4349,Whirlpool Corporation,Estate,Refrigerator,120W,SKU-49851
4350,AB Electrolux / Investor AB,Anova,Kettle,0,SKU-87731
4351,AB Electrolux / Investor AB,Fensa,Toaster,0,SKU-36931
4352,AB Electrolux / Investor AB,Anova,Washer,200,SKU-92675
4353,AB Electrolux / Investor AB,Tappan,Dryer,500W,SKU-82992
4354,Liebherr Group,Liebherr,Washer,,SKU-56060
4355,AB Electrolux / Investor AB,Alpeninox,Toaster,,SKU-97321
4356,AB Electrolux / Investor AB,Mademsa,Refrigerator,475W,SKU-96228
4357,Bauknecht Hausgeräte GmbH / Whirlpool Corporation,Bauknecht,Dish Washer,,SKU-53463
4358,AB Electrolux / Investor AB,Gafa,Toaster,415,SKU-32633
4359,BSH Hausgeräte GmbH / Robert Bosch GmbH,Constructa,Refrigerator,,SKU-95466
4360,Candy Group,Iberna,Dryer,325W,SKU-99897
4361,AB Electrolux / Investor AB,Zanussi,Toaster,325W,SKU-27189
4362,GlenDimplex,New World,Stove,0,SKU-10094
4363,BSH Hausgeräte GmbH / Robert Bosch GmbH,Bosch,Kettle,250W,SKU-89294
4364,GlenDimplex,Faber,Stove,,SKU-27348
4365,Candy Group,Baumatic,Stove,300W,SKU-14593
4366,AB Electrolux / Investor AB,Mademsa,Kettle,0,SKU-11684
4367,Candy Group,Rosières,Dish Washer,120W,SKU-73290
4368,BSH Hausgeräte GmbH / Robert Bosch GmbH,Zelmer,Toaster,,SKU-25899
4369,"LG Electronics, LG Corporation",LG,Washer,0,SKU-82250
4370,GlenDimplex,Britannia,Kettle,425W,SKU-63153
4371,AB Electrolux / Investor AB,Simpson,Washer,0,SKU-88338
4372,BSH Hausgeräte GmbH / Robert Bosch GmbH,Bosch,Dish Washer,,SKU--56274
4373,AB Electrolux / Investor AB,Electrolux,Stove,,SKU-56788
4374,AB Electrolux / Investor A,Frigidaire,Dryer,,SKU-46747
4375,Gorenje,Pelgrim,Dish Washer,325W,SKU-24562
4376,AB Electrolux / Investor AB,Prosdócimo,Kettle,400W,6116
4377,Candy Group,Vyatka,Refrigerator,0,SKU-70343
4378,AB Electrolux / Investor AB,Lehel,Kettle,475W,SKU-75217
4379,AB Electrolux / Investor AB,AEG,Kettle,,SKU-65738
4380,BSH Hausgeräte GmbH / Robert Bosch GmbH,Siemens,Kettle,,SKU-12453
4381,AB Electrolux / Investor A,Chef,Dish Washer,0,SKU59941
4382,AB Electrolux / Investor AB,Dometic,Kettle,0,SKU-1888
4383,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Washer,,SKU-93463
4384,Montpellier Domestic Appliances Ltd,Montpellier,Dryer,,SKU-31333
4385,"Indesit Company, Whirlpool Corporation",Stinol,Dish Washer,,SKU-61893
4386,Verzinkerei Zug LtdV-ZUG Ltd,V-ZUG,Freezer,,SKU-81081
4387,AB Electrolux / Investor AB,REX-Electrolux,Stove,0,SKU--97191
4388,AB Electrolux / Investor AB,Atlas,Dryer,500W,SKU-95063
4389,AB Electrolux / Investor AB,Olympic Group,Dryer,400W,SKU-82859
4390,AB Electrolux / Investor AB,Westinghouse,Dryer,325W,SKU-15464
4391,Whirlpool Corporation,KitchenAid India,Dish Washer,425W,SKU-99095
4392,AB Electrolux / Investor AB,AEG,Freezer,425W,SKU-9100
4393,Gorenj,Atag,Washer,0,SKU-13882
4394,Gorenje,Pelgrim,Dish Washer,325W,1505
4395,Candy Group,Zerowatt,Dish Washer,0,SKU-29338
4396,Whirlpool Corporation,Estate,Toaster,,SKU-38861
4397,Whirlpool Corporation,Indesit Company,Dryer,200,SKU-68760
4398,Arçelik A.Ş. / Koç Holding,Leisure,Kettle,500W,SKU-13055
4399,BSH Hausgeräte GmbH / Robert Bosch GmbH,Gaggenau,Toaster,425W,SKU-66348
4400,AB Electrolux / Investor AB,Kelvinator,Freezer,425W,SKU-23836
4401,Arçelik A.Ş. / Koç Holding,Leisure,Freezer,400W,SKU-18387
4402,GlenDimplex,Faber,Stove,325W,SKU-71110
4403,Whirlpool Corporation,Roper,Kettle,415,SKU-47318
4404,Bauknecht Hausgeräte GmbH / Whirlpool Corporation,Bauknecht,Freezer,0,SKU-57308
4405,AB Electrolux / Investor AB,Arthur Martin,Washer,,SKU-56557
4406,Meneghetti S.p.A,Fulgor Milano,Freezer,200,SKU-74916
4407,"LG Electronics, LG Corporation",LG,Stove,,SKU-33984
4408,BSH Hausgeräte GmbH / Robert Bosch GmbH,Constructa,Refrigerator,400W,SKU-89146
4409,Mondragon Corporation,Fagor,Washer,0,SKU-33962
4410,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Washer,250W,SKU-45862
4411,Mondragon Corporation,Fagor,Freezer,,SKU-56201
4412,Home Retail Group plc / J Sainsbury plc,Bush,Kettle,,SKU-13670
4413,Dayou Group,Daewoo,Washer,,1235
4414,Arçelik A.Ş. / Koç Holding,Arctic,Dish Washer,0,SKU-16948
4415,Candy Group,Zerowatt,Washer,,SKU-72790
4416,Whirlpool Corporation,Estate,Stove,400W,SKU-46151
4417,BSH Hausgeräte GmbH / Robert Bosch GmbH,Constructa,Refrigerator,,SKU-38798
4418,Whirlpool Corporation,Estate,Freezer,120W,SKU-14991
4419,BSH Hausgeräte GmbH / Robert Bosch GmbH,Constructa,Stove,400W,SKU-20244
4420,Arçelik A.Ş. / Koç Holdin,Beko,Refrigerator,,SKU-64103
4421,Candy Group,Baumatic,Toaster,500W,SKU-27968
4422,Gorenj,Atag,Toaster,400W,SKU-21052
4423,Whirlpool Corporation,Estate,Freezer,0,SKU-29241
4424,GlenDimplex,New World,Stove,425W,SKU-64775
4425,Whirlpool Corporation,KitchenAid,Dryer,0,SKU-67220
4426,Montpellier Domestic Appliances Ltd,Montpellier,Dish Washer,475W,SKU-19892
4427,Arçelik A.Ş. / Koç Holding,Arctic,Refrigerator,415,SKU-62258
4428,GlenDimplex,Dimplex,Refrigerator,325W,SKU-91542
4429,Dayou Winia / Dayou Group,PRAUD,Stove,,SKU-38477
4430,AB Electrolux / Investor AB,Alpeninox,Refrigerator,300W,SKU-54859
4431,AB Electrolux / Investor A,Frigidaire,Freezer,475W,SKU-39866
4432,Whirlpool Corporation,Brastemp,Washer,415,SKU-90223
4433,Candy Group,Jinling,Dryer,,SKU-45431
4434,AB Electrolux / Investor AB,Kelvinator,Dryer,475W,SKU-1503
4435,GlenDimple,Belling,Kettle,0,SKU-2871
4436,"LG Electronics, LG Corporation",LG,Kettle,,SKU-5369
4437,Whirlpool Corporation,KitchenAid,Refrigerator,325W,SKU-23369
4438,BSH Hausgeräte GmbH / Robert Bosch GmbH,PROFiLO,Dryer,400W,SKU-22370
4439,Fnac,ProLine,Dish Washer,120W,SKU-67431
4440,GlenDimplex,Dimplex,Toaster,200,SKU-53572
4441,Candy Group,Rosières,Kettle,400W,SKU-71353
4442,Asko Appliances AB / Gorenje,Asko,Washer,415,SKU-8500
4443,BSH Hausgeräte GmbH / Robert Bosch GmbH,Balay,Refrigerator,,SKU-55421
4444,AB Electrolux / Investor AB,Simpson,Kettle,,SKU-74989
4445,AB Electrolux / Investor AB,Tricity Bendix,Dryer,,SKU-36529
4446,GlenDimplex,Stoves,Stove,425W,SKU-47095
4447,Arçelik A.Ş. / Koç Holding,Defy,Washer,,SKU-39386
4448,BSH Hausgeräte GmbH / Robert Bosch GmbH,PROFiLO,Washer,,SKU-88094
4449,Asko Appliances AB / Gorenje,Asko,Toaster,,SKU-50410
4450,Arçelik A.Ş. / Koç Holding,Elektra Bregenz,Toaster,0,SKU-66093
4451,Whirlpool Corporation,Kenmore,Dish Washer,,SKU-34862
4452,Whirlpool Corporation,Estate,Dryer,425W,SKU-35753
4453,"Sub-Zero Group, Inc",Sub-Zero,Dish Washer,,SKU-4909
4454,Mondragon Corporation,Fagor,Washer,250W,SKU-44554
4455,Arçelik A.Ş. / Koç Holdin,Arstil,Kettle,,SKU-34213
4456,Candy Group,Otsein Hoover,Stove,425W,SKU-12615
4457,Whirlpool Corporation,Estate,Freezer,,SKU-70627
4458,AB Electrolux / Investor AB,King,Dryer,0,SKU-9246
4459,Candy Group,Süsler,Stove,200,SKU-95614
4460,Candy Group,Vyatka,Freezer,,SKU-29661
4461,Whirlpool Corporation,Diqua,Dryer,300W,SKU-36623
4462,"Sub-Zero Group, Inc",Wolf,Stove,,SKU-34548
4463,AB Electrolux / Investor AB,Dometic,Stove,0,SKU-90130
4464,GlenDimplex,Faber,Toaster,,SKU-8269
4465,AB Electrolux / Investor AB,Arthur Martin,Kettle,200,SKU-69541
4466,"Hotpoint, Whirlpool Corporation",Hotpoint,Refrigerator,0,SKU-38130
4467,Candy Group,Hoover,Stove,0,SKU-82402
4468,GlenDimplex,Faber,Stove,300W,SKU-81515
4469,Arçelik A.Ş. / Koç Holding,Arçelik,Washer,120W,SKU-46871
4470,"Sub-Zero Group, Inc",Sub-Zero,Toaster,,SKU-79652
4471,Whirlpool Corporation,Diqua,Stove,0,SKU-16646
4472,AB Electrolux / Investor AB,Zanker,Kettle,325W,SKU-64123
4473,Candy Group,Otsein Hoover,Freezer,425W,SKU-73084
4474,Arçelik A.Ş. / Koç Holdin,Arstil,Refrigerator,400W,SKU-98060
4475,AB Electrolux / Investor AB,Philco,Washer,,SKU-82116
4476,AB Electrolux / Investor AB,Anova,Toaster,415,SKU-36664
4477,AB Electrolux / Investor AB,Fensa,Stove,325W,SKU-51865
4478,BSH Hausgeräte GmbH / Robert Bosch GmbH,Coldex,Dish Washer,400W,SKU-18458
4479,AB Electrolux / Investor AB,REX-Electrolux,Toaster,,SKU-18636
4480,Whirlpool Corporation,Inglis,Dish Washer,415,SKU-43028
4481,GlenDimplex,Faber,Dryer,,SKU-57631
4482,BSH Hausgeräte GmbH / Robert Bosch GmbH,Constructa,Dish Washer,,SKU-89967
4483,GlenDimplex,Britannia,Refrigerator,200,SKU-73186
4484,Whirlpool Corporation,KitchenAid,Refrigerator,0,SKU-43103
4485,Arçelik A.Ş. / Koç Holding,Flavel,Dryer,0,SKU-8484
4486,BSH Hausgeräte GmbH / Robert Bosch GmbH,Neff,Washer,475W,SKU-16874
4487,Smeg Group S.p.A,Bertazzoni,Refrigerator,,SKU-47736
4488,Mondragon Corporation,Mastercook,Stove,425W,SKU-71650
4489,"Indesit Company, Whirlpool Corporation",Scholtès,Kettle,,SKU-73566
4490,BSH Hausgeräte GmbH / Robert Bosch GmbH,Pitsos,Dryer,,SKU-18722
4491,The Meyer Corporatio,Hestan,Stove,300W,SKU-17134
4492,Whirlpool Corporatio,Ariston,Washer,425W,SKU-92244
4493,GlenDimplex,Faber,Toaster,300W,SKU-30510
4494,BSH Hausgeräte GmbH / Robert Bosch GmbH,Coldex,Washer,,SKU-56590
4495,AB Electrolux / Investor AB,White-Westinghouse,Freezer,,SKU-56194
4496,Arçelik A.Ş. / Koç Holding,Altus,Dish Washer,,SKU-98369
4497,Whirlpool Corporation,Roper,Washer,415,SKU-50169
4498,Currys / Dixons Carphone plc,Logik,Freezer,,SKU-8497
4499,Fnac,ProLine,Stove,120W,SKU-7156
4500,Gorenje,Gorenje,Kettle,0,SKU-45843
4501,AB Electrolux / Investor AB,REX-Electrolux,Washer,,SKU-47935
4502,Arçelik A.Ş. / Koç Holding,Defy,Stove,325W,SKU-26220
4503,AB Electrolux / Investor AB,Kelvinator,Dryer,500W,SKU-60882
4504,Whirlpool Corporatio,Ariston,Stove,500W,SKU-64324
4505,AB Electrolux / Investor AB,Prosdócimo,Stove,,SKU-90693
4506,BSH Hausgeräte GmbH / Robert Bosch GmbH,Viva,Washer,0,SKU-40968
4507,Mondragon Corporation,Brandt,Kettle,,SKU-43711
4508,Whirlpool Corporation,Admiral,Dish Washer,300W,SKU-77668
4509,AB Electrolux / Investor AB,Tricity Bendix,Refrigerator,,SKU-38701
4510,AB Electrolux / Investor AB,Prosdócimo,Toaster,300W,SKU-81093
4511,Arçelik A.Ş. / Koç Holding,Defy,Kettle,,SKU-63972
4512,Arçelik A.Ş. / Koç Holdin,Arstil,Kettle,,SKU-54451
4513,AB Electrolux / Investor AB,Tappan,Toaster,250W,SKU-39472
4514,Arçelik A.Ş. / Koç Holding,Defy,Refrigerator,,SKU-48975
4515,Gorenje,Gorenje,Kettle,,SKU-55060
4516,Whirlpool Corporation,Admiral,Dish Washer,,SKU46385
4517,Arçelik A.Ş. / Koç Holding,Defy,Toaster,,SKU-47172
4518,The Middleby Corporation,La Cornue,Kettle,425W,SKU-87136
4519,AB Electrolux / Investor AB,Fensa,Dryer,415,SKU-49293
4520,"Hotpoint, Whirlpool Corporation",Hotpoint,Washer,475W,SKU-5973
4521,AB Electrolux / Investor AB,Electrolux,Toaster,,SKU97040
4522,AB Electrolux / Investor A,Frigidaire,Stove,,SKU-16935
4523,GlenDimplex,Dimplex,Washer,500W,SKU-58073
4524,Whirlpool Corporation,Acros,Toaster,,SKU-39437
4525,BSH Hausgeräte GmbH / Robert Bosch GmbH,PROFiLO,Dish Washer,300W,SKU-36232
4526,Mondragon Corporation,Fagor,Dryer,0,SKU-63625
4527,AB Electrolux / Investor A,Chef,Toaster,0,SKU-78794
4528,"Indesit Company, Whirlpool Corporation",Elco,Freezer,,SKU-10688
4529,GlenDimple,Belling,Freezer,200,SKU-78800
4530,Arçelik A.Ş. / Koç Holdin,Beko,Kettle,400W,SKU52114
4531,Candy Group,Iberna,Stove,200,SKU-31940
4532,"Indesit Company, Whirlpool Corporation",Elco,Washer,120W,SKU-81847
4533,Arçelik A.Ş. / Koç Holding,Flavel,Washer,325W,SKU-23880
4534,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Dryer,250W,SKU-98445
4535,Smeg Group S.p.A,Smeg,Washer,325W,SKU-11207
4536,Dayou Group,Daewoo,Dish Washer,,SKU-65286
4537,AB Electrolux / Investor A,Frigidaire,Freezer,500W,SKU-52165
4538,Gorenje,Sidex,Washer,,SKU-51572
4539,AB Electrolux / Investor AB,Gafa,Kettle,500W,SKU-34603
4540,"Sub-Zero Group, Inc",Wolf,Washer,400W,SKU-80463
4541,Whirlpool Corporation,Admiral,Dish Washer,,SKU-71510
4542,Fhiaba S.r.l,Fhibia,Toaster,200,SKU-47185
4543,Whirlpool Corporation,KitchenAid India,Toaster,500W,SKU-61493
4544,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Servis,Kettle,475W,SKU-9737
4545,GlenDimplex,Britannia,Toaster,120W,SKU-11729
4546,Whirlpool Corporation,Maytag,Freezer,200,SKU-81751
4547,Whirlpool Corporation,Whirlpool,Stove,415,SKU-20366
4548,Candy Group,Candy,Refrigerator,0,SKU9106
4549,Candy Group,Jinling,Washer,250W,SKU-58681
4550,AB Electrolux / Investor AB,Dometic,Refrigerator,,SKU-64871
4551,GlenDimplex,Stoves,Freezer,,SKU-41013
4552,BSH Hausgeräte GmbH / Robert Bosch GmbH,PROFiLO,Dryer,,SKU-94959
4553,John Lewis Partnership,John Lewis,Kettle,,SKU-32064
4554,Whirlpool Corporation,Indesit Company,Dish Washer,500W,SKU-79465
4555,AB Electrolux / Investor AB,Dishlex,Washer,0,SKU-13923
4556,AB Electrolux / Investor AB,Westinghouse,Washer,0,SKU-11337
4557,The Meyer Corporatio,Hestan,Stove,325W,SKU-51998
4558,AB Electrolux / Investor AB,Voss,Kettle,425W,SKU--30435
4559,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Vestfrost,Freezer,,SKU-39603
4560,AB Electrolux / Investor AB,Atlas,Toaster,200,SKU-82234
4561,GlenDimplex,Campo,Refrigerator,325W,SKU-30991
4562,The Middleby Corporation,Marvel,Toaster,,SKU-37790
4563,Candy Group,Candy,Dryer,,SKU-15616
4564,Miele & Cie. KG,Miele,Washer,,SKU-93282
4565,AB Electrolux / Investor AB,Dometic,Dish Washer,,SKU-6399
4566,Liebherr Group,Liebherr,Freezer,,SKU-68681
4567,The Meyer Corporatio,Hestan,Washer,,SKU-96818
4568,Candy Group,Iberna,Washer,250W,SKU-27424
4569,Whirlpool Corporation,Whirlpool,Washer,250W,SKU-40242
4570,Arçelik A.Ş. / Koç Holding,Leisure,Dish Washer,0,SKU-50797
4571,BSH Hausgeräte GmbH / Robert Bosch GmbH,PROFiLO,Toaster,400W,SKU-72860
4572,Gorenje,Etna,Stove,,SKU47263
4573,Currys / Dixons Carphone plc,Logik,Dryer,,SKU-97690
4574,Fhiaba S.r.l,Fhibia,Dish Washer,415,SKU-33485
4575,Whirlpool Corporation,Amana,Freezer,,SKU-51903
4576,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Servis,Washer,0,SKU-40219
4577,Whirlpool Corporation,Diqua,Dryer,0,SKU-79027
4578,BSH Hausgeräte GmbH / Robert Bosch GmbH,Constructa,Washer,,SKU--31136
4579,"Indesit Company, Whirlpool Corporation",Stinol,Stove,120W,SKU9515
4580,Whirlpool Corporation,Whirlpool,Refrigerator,,SKU-38761
4581,Gorenje,Körting,Dryer,,SKU-51095
4582,John Lewis Partnership,John Lewis,Dryer,475W,SKU-69388
4583,AB Electrolux / Investor AB,Electrolux,Washer,200,SKU-8136
4584,Fnac,ProLine,Dish Washer,0,SKU-22461
4585,Samsung Group,Samsung,Kettle,,SKU-13389
4586,AB Electrolux / Investor AB,Zanussi,Stove,400W,SKU--32368
4587,GlenDimple,Belling,Dryer,,SKU-30311
4588,AB Electrolux / Investor AB,Simpson,Washer,475W,SKU-78787
4589,BSH Hausgeräte GmbH / Robert Bosch GmbH,Neff,Washer,,SKU-41542
4590,Gorenj,Atag,Refrigerator,200,SKU-80950
4591,IKEA,IKEA,Washer,325W,SKU-81117
4592,Whirlpool Corporatio,Ariston,Freezer,500W,SKU-24587
4593,BSH Hausgeräte GmbH / Robert Bosch GmbH,Siemens,Freezer,,SKU-46082
4594,Arçelik A.Ş. / Koç Holding,Flavel,Freezer,120W,SKU-5697
4595,BSH Hausgeräte GmbH / Robert Bosch GmbH,Coldex,Stove,200,SKU-28701
4596,Whirlpool Corporation,Indesit Company,Washer,,SKU-77964
4597,Arçelik A.Ş. / Koç Holding,Dawlance,Dish Washer,425W,SKU-1015
4598,Candy Group,Iberna,Stove,,SKU-26501
4599,AGA Rangemaster Group Ltd. The Middleby Corporation,AGA / Rangemaster,Dish Washer,300W,SKU-36684
4600,Whirlpool Corporation,Indesit Company,Kettle,425W,SKU-24555
4601,Whirlpool Corporation,Amana,Stove,475W,SKU-63122
4602,AB Electrolux / Investor AB,Electrolux,Toaster,0,SKU-91276
4603,BSH Hausgeräte GmbH / Robert Bosch GmbH,Coldex,Dish Washer,250W,SKU-36733
4604,Mondragon Corporation,Mastercook,Refrigerator,120W,SKU-69165
4605,AM Kodinkoneet Oy / Gorenje Group Nordic A/S / Gorenje,UPO,Kettle,475W,SKU-96308
4606,The Middleby Corporation,La Cornue,Kettle,325W,SKU-41522
4607,Whirlpool Corporation,Consul,Washer,,SKU-36249
4608,GlenDimplex,Nobo,Toaster,0,SKU-50323
4609,BSH Hausgeräte GmbH / Robert Bosch GmbH,Bosch,Kettle,300W,SKU-31386
4610,Arçelik A.Ş. / Koç Holding,Dawlance,Toaster,,SKU-79276
4611,Arçelik A.Ş. / Koç Holding,Grundig,Stove,,SKU-35854
4612,De’Longhi S.p.A,DeLonghi,Freezer,,SKU-17479
4613,AB Electrolux / Investor AB,Mademsa,Refrigerator,,SKU-55660
4614,AB Electrolux / Investor AB,Castor,Toaster,475W,SKU-86891
4615,Whirlpool Corporation,Inglis,Dish Washer,200,SKU-6701
4616,Gorenje,Gorenje,Freezer,0,SKU-88267
4617,Fnac,ProLine,Kettle,120W,SKU-8312
